STATUS:

adaptor                                         status
--------------------------------------------------------
LOCAL ADAPTORS

File Adaptor:                                   done
FileStreams:                                    done
RandomAccessFile:                               done
Logical file adaptor:                           done
pipe (sockets):                                 done
Advertservice Adaptor:                          done
ResourceBroker Adaptor:                         done
monitoring:                                     done


REMOTE ADAPTORS

GridLab service discovery (igrid):              coding
GridLab File Adaptor (file movement&browsing):  done
GridLab LogicalFile Adaptor:                    done
GridLab Advertservice Adaptor (storagebox):     done
GridLab ResourceBroker Adaptor:                 done
Gridlab monitoring:                             coding

LogicalFile on top of File adaptor:             done
Pipe adaptor (sockets):                         done

Globus Gridftp File adaptor:                    done
Globus Gridftp FileStreams:                     done
Globus ResourceBroker:                          done

FTP File:                                       done

SSH File:                                       coding
SSH ResourceBroker:                             coding
SSH FileStreams:                                coding

SFTP File:                                      done
SFTP FileStreams:                               done

FTP FileSteams:                                 done
HTTP FileStreams:                               done
HTTPS FileStreams:                              done
